trial#,date.start,date.end,days,treatment,channel, chamber,species,type,fragments,boat.wt (g),boat+blotted wt (g),fp.wt (g),fp.PCLDM.wt (g),notes
CT1,13-Mar-19,21-Mar-19,8,3,3C,R162,R,microbes,2,1.7084,1.8814,0.4951,0.5599,
CT1,13-Mar-19,21-Mar-19,8,3,3C,R163,R,bug,2,1.7129,1.9968,0.4448,0.5267,
CT1,13-Mar-19,21-Mar-19,8,3,3C,R164,R,bug,2,1.6489,1.8813,0.3613,0.4315,
CT1,13-Mar-19,21-Mar-19,8,3,3C,R165,R,bug,2,1.8074,2.0619,0.3707,0.448,
CT1,13-Mar-19,21-Mar-19,8,3,3C,R166,R,bug,2,1.7667,2.0698,0.3754,0.4666,
CT1,13-Mar-19,21-Mar-19,8,3,3C,A161,A,microbes,3,1.8334,1.924,0.4279,NA,
CT1,13-Mar-19,21-Mar-19,8,3,3C,A162,A,microbes,3,1.8105,1.8835,0.3603,0.3849,
CT1,13-Mar-19,21-Mar-19,8,3,3C,A163,A,bug,3,1.785,1.9359,0.3092,0.3363,
CT1,13-Mar-19,21-Mar-19,8,3,3C,A164,A,bug,3,1.8727,2.0421,0.3635,0.3935,
CT1,13-Mar-19,21-Mar-19,8,3,3C,A165,A,bug,3,1.7374,1.8713,0.2953,0.3247,
CT1,13-Mar-19,21-Mar-19,8,3,3C,A166,A,bug,3,1.8193,1.9935,0.4118,0.4463,
CT1,13-Mar-19,21-Mar-19,8,4,4A,R171,R,microbes,2,1.6908,1.8638,0.4546,NA,
CT1,13-Mar-19,21-Mar-19,8,4,4A,R172,R,microbes,2,1.7894,1.9424,0.4539,0.5055,
CT1,13-Mar-19,21-Mar-19,8,4,4A,R173,R,bug,2,1.8209,1.9999,0.4206,0.4771,
CT1,13-Mar-19,21-Mar-19,8,4,4A,R174,R,bug,2,1.7983,1.9868,0.3655,0.4169,
CT1,13-Mar-19,21-Mar-19,8,4,4A,R175,R,bug,2,1.8198,2.0708,0.3467,0.4087,
CT1,13-Mar-19,21-Mar-19,8,4,4A,R176,R,bug,2,1.6621,1.8617,0.4053,0.4656,
CT1,13-Mar-19,21-Mar-19,8,4,4A,A171,A,microbes,3,1.7134,1.8059,0.4017,NA,
CT1,13-Mar-19,21-Mar-19,8,4,4A,A172,A,microbes,3,1.6608,1.8139,0.4705,0.5064,
CT1,13-Mar-19,21-Mar-19,8,4,4A,A173,A,bug,3,1.7154,2.0076,0.3852,0.4426,
CT1,13-Mar-19,21-Mar-19,8,4,4A,A174,A,bug,3,1.7373,1.9298,0.4487,0.5016,
CT1,13-Mar-19,21-Mar-19,8,4,4A,A175,A,bug,3,1.8456,2.0842,0.3758,0.435,
CT1,13-Mar-19,21-Mar-19,8,4,4A,A176,A,bug,3,1.7086,1.9672,0.4368,0.4923,
CT1,13-Mar-19,21-Mar-19,8,2,2D,R181,R,microbes,2,1.7435,1.8928,0.4583,NA,
CT1,13-Mar-19,21-Mar-19,8,2,2D,R182,R,microbes,2,1.7123,1.8716,0.4804,0.5314,
CT1,13-Mar-19,21-Mar-19,8,2,2D,R183,R,bug,2,1.7309,1.9959,0.4335,0.5151,
CT1,13-Mar-19,21-Mar-19,8,2,2D,R184,R,bug,2,1.7585,2.0292,0.3738,0.4542,
